,,,,,Data Analytics,-Indian Stock Market Top 2000,,,,,,,,
Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,Return on Equity,Return on Assets,Net Proﬁt Margin,5Y Avg EBITDA Margin,EBITDA Margin,1Y Return vs Nifty,5Y CAGR,Debt to Equity,Long Term Debt to Equity
Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks,361606.019,1777.1,36.19603783,13.14712362,2.166135947,17.58382547,23.76243684,23.9891669,-19.2091846601928,15.63469106,,
Wipro Ltd,WIPRO,IT Services & Consulting,328522.2353,600,30.42886845,19.53039074,13.20132497,16.78059516,24.01338951,26.69486125,30.06446356,26.19550741,18.98501021,3.809390599
HCL Technologies Ltd,HCLTECH,IT Services & Consulting,324798.5753,1168.05,29.14298567,19.99049353,13.19981524,14.60566666,24.89674956,27.48800881,5.516115996,22.14320836,10.82021238,9.538630538
ITC Ltd,ITC,FMCG - Tobacco,301787.8232,244.5,22.93013194,20.83375282,17.42378824,25.35613869,40.04085288,37.84144367,-6.43290767500406,-3.21513698455845,0.446220929,0.350182019
Asian Paints Ltd,ASIANPAINT,Paints,300791.9574,3045.75,95.81528223,26.42184183,17.20474246,14.24073372,21.13945151,23.53087672,10.21540038,23.30130942,8.262964741,4.353189736
Adani Green Energy Ltd,ADANIGREEN,Renewable Energy,297350.3949,1876.05,1415.954261,9.467989179,0.891416928,5.834954154,67.95080827,72.96471242,41.20881127,,1138.711195,943.0856068
Avenue Supermarts Ltd,DMART,Retail - Department Stores,271599.9263,4095.2,247.023553,9.452160842,8.54596422,4.517349945,8.603471071,7.967617763,22.23857864,44.59951443,3.223132424,2.560794346
Adani Transmission Ltd,ADANITRANS,Power Infrastructure,262832.6136,2289.05,214.7255103,12.50044041,2.95145794,11.08557166,53.36886708,45.878367,182.0322717,104.2778816,268.9948777,237.545072
Bajaj Finserv Ltd,BAJAJFINSV,Insurance,260203.2168,16180.8,58.20502069,8.191002587,1.683317178,7.378023048,18.46358087,17.09940838,55.29622607,31.87101916,220.3672661,195.1441298
Larsen & Toubro Ltd,LT,Construction & Engineering,251193.8447,1756.3,21.68655467,13.89742027,3.755922634,7.84505267,18.50812479,21.38319077,8.351203678,11.20515118,149.9324377,92.77925495
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches",239968.599,2707.25,246.6275427,13.72839506,6.489262372,4.457169033,10.1869519,8.726523133,68.6397242,42.31748267,75.15329246,14.23620368
Maruti Suzuki India Ltd,MARUTI,Four Wheelers,232390.1902,7705.55,52.94711676,8.611752056,6.506688884,5.973409475,15.2290269,11.50954104,-7.776606270656,4.865561598,1.03027394,0.079999086
Axis Bank Ltd,AXISBANK,Private Banks,226920.9461,725.9,31.53646456,7.565403774,0.742455749,8.900053607,9.192404321,13.27118539,-16.1469448058103,8.252519846,,
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals,218723.3759,913.8,75.32263565,5.889831419,4.276091852,8.451825827,22.06376788,14.61333847,41.91611914,5.534127617,7.818498972,1.815143666
Oil and Natural Gas Corporation Ltd,ONGC,Oil & Gas - Exploration & Production,214242.1549,172.55,13.18519554,6.972083864,3.094840343,5.154025319,18.84292231,19.26243092,40.05509412,-2.3212117586506,54.90052857,36.60735165
Adani Enterprises Ltd,ADANIENT,Commodities Trading,200126.9418,1802.95,216.9068561,4.971127386,1.873537061,2.28994466,6.837828361,7.445745233,86.55959675,77.06176354,84.61761786,50.36115793
Adani Total Gas Ltd,ATGL,Gas Distribution,194314.4455,1814.15,419.8488515,27.18640504,16.29659364,26.59946206,31.46717911,42.19694706,129.3219731,,27.35823689,17.85806625
UltraTech Cement Ltd,ULTRACEMCO,Cement,183864.2992,6191.25,33.65567154,13.12745339,6.606318054,11.97915319,22.14860331,26.72166203,-23.3042376462368,9.087367133,46.3729844,30.6662004
Nestle India Ltd,NESTLEIND,FMCG - Foods,176288.4234,17876.45,82.19110965,105.7551527,27.63186615,14.23640749,24.04781218,23.06614487,-7.43293841415317,23.05639547,7.303871562,4.827319817
JSW Steel Ltd,JSWSTEEL,Iron & Steel,164987.6797,681.3,20.85547715,19.24372712,5.647950824,9.835637557,21.26482879,25.67510444,38.54884756,28.77354877,135.07613,111.853761
Tata Steel Ltd,TATASTEEL,Iron & Steel,159191.5594,1302.95,21.2532555,9.748362333,3.038269449,4.749945241,16.06009466,19.45837502,61.65704606,21.28838002,114.1829181,93.42051092
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Ports,156336.7428,735.15,31.30303401,17.17944789,7.325235821,32.78160192,64.76710818,69.93495927,-8.97306897461669,17.67882068,108.1745054,101.9474849
Tata Motors Ltd - DVR,TATAMTRDVR,Four Wheelers,154634.8056,206.85,-11.8290788815775,,,-5.1784727763188,,8.387249555,38.03686645,-6.1527452611333,,
Tata Motors Ltd,TATAMOTORS,Four Wheelers,154634.8056,427.95,-11.4958235278213,-22.286693236729,-4.06540362037406,-5.28895281809734,7.717890285,8.323676258,22.41880744,-2.01293227487641,250.1408742,173.3975112
Power Grid Corporation of India Ltd,POWERGRID,Power Transmission & Distribution,147565.7053,204.9,12.25989247,17.88061063,4.697716556,29.00184086,85.37729489,85.95789641,2.580657175,7.167906694,204.7732022,184.7041019
Tech Mahindra Ltd,TECHM,IT Services & Consulting,145066.5643,1479.8,32.76119339,18.66350269,11.51329047,11.45861907,18.42434235,19.62715496,33.45908313,25.41400415,11.49081978,3.856285528
Vedanta Ltd,VEDL,Metals - Diversiﬁed,140322.1962,400.05,12.09465576,15.55571943,6.370892238,12.68782398,26.37760866,32.87439032,63.94175202,8.862601162,73.65987238,49.03252474
Hindustan Zinc Ltd,HINDZINC,Mining - Diversiﬁed,131006.0156,311.4,16.41679393,21.97650882,17.21645703,32.64070681,56.61288353,55.18242801,-6.19933435341313,0.271954289,22.21087488,13.34447436
Hindalco Industries Ltd,HINDALCO,Metals - Aluminium,129174.3714,589.95,37.08710059,5.578601746,1.948913074,2.612138984,13.02500581,12.42847179,59.95317276,24.3650928,100.9963482,90.03651774
NTPC Ltd,NTPC,Power Generation,128868.6929,132.9,8.80573632,11.64164789,3.773419644,12.37979411,29.83842764,33.04558079,6.389727228,-0.332253060476473,164.3568057,140.2358447
Pidilite Industries Ltd,PIDILITIND,Diversiﬁed Chemicals,127600.7237,2485.25,112.8002084,21.53811882,14.75183761,15.33617404,23.01831211,23.866032,25.8303762,28.83557434,5.674609978,1.59557689
Divi's Laboratories Ltd,DIVISLAB,Labs & Life Sciences Services,119576.3398,4456.25,60.26152419,23.90058617,20.56028963,28.21816393,37.70398812,41.57773935,16.12241522,47.67753313,0.051965602,0.039700429
Indian Oil Corporation Ltd,IOC,Oil & Gas - Reﬁning & Marketing,114240.8185,118,5.279587291,20.6976894,6.316740689,5.869645547,8.564175942,12.10509466,3.394918851,-8.70426978917708,103.4030443,54.01360239
SBI Life Insurance Company Ltd,SBILIFE,Insurance,112895.9139,1095.8,77.54639138,15.20983852,0.742003572,1.758704127,3.691711911,2.101263957,4.757098853,,0,0
HDFC Life Insurance Company Ltd,HDFCLIFE,Insurance,111995.3906,522.35,82.29690611,17.62053448,0.87272988,1.890804173,3.710750201,2.333316846,-40.2254133754188,,6.944613237,6.944613237
Coal India Ltd,COALINDIA,Mining - Coal,108802.9686,182.3,8.567237087,36.54148271,8.165082423,13.53667442,23.50236326,23.83631823,17.65033087,-9.00732559299195,15.91758202,7.273304826
Larsen & Toubro Infotech Ltd,LTI,IT Services & Consulting,107157.5443,5992.4,55.3471124,30.46050251,19.83668367,15.31215893,21.84793495,23.7223391,30.95040013,53.38098509,10.92499076,8.724391345
Grasim Industries Ltd,GRASIM,Cement,106364.495,1569.45,24.70823286,4.448939847,1.684754531,5.527755823,22.18766609,25.38093352,-4.88883175128931,7.523890322,75.75362055,52.57189915
Bajaj Auto Ltd,BAJAJ-AUTO,Two Wheelers,105631.9838,3589.05,21.74831148,19.85068926,16.1599741,16.56337194,23.03114512,22.19168963,-17.7699620181509,4.306501071,0.445341695,0.445341695
Dabur India Ltd,DABUR,FMCG - Personal Products,99044.15946,549.55,58.49179676,23.61245619,16.79044909,17.1527438,22.93354138,23.57157545,-11.3826697176528,14.26294979,6.610979946,1.741898283
Mahindra and Mahindra Ltd,M&M,Four Wheelers,94899.83461,783.5,52.35881831,3.687172272,1.096205126,2.351527009,16.07313631,16.39724614,-23.954802840324,3.896304041,158.1106301,108.3990971
DLF Ltd,DLF,Real Estate,89866.19149,353.9,82.17389333,3.12774696,1.999687323,18.39579874,41.90647051,31.15987007,7.039730916,19.00827826,18.50646366,9.007845046
Shree Cement Ltd,SHREECEM,Cement,86919.24355,23390.3,38.02457863,15.9367319,11.02762732,16.39479124,29.11312363,32.40206675,-29.2644330572714,7.48768619,13.81260531,8.61924437
Siemens Ltd,SIEMENS,Conglomerates,84790.45211,2348.9,77.76800157,10.98588853,6.448083554,7.840500503,13.55018289,12.83834316,11.36489025,13.49097145,0.039586371,0
Cipla Ltd,CIPLA,Pharmaceuticals,84594.45167,1050.3,35.1763096,13.88378041,9.962577212,12.3799135,20.66358208,23.26015491,21.98052227,12.1554398,9.445812589,6.471411454
Britannia Industries Ltd,BRITANNIA,FMCG - Foods,80834.1958,3237.55,43.3683115,46.46692793,23.54950811,13.85817803,17.59949596,20.98437005,-22.7060906373914,14.47103567,58.78738839,20.86356027
SBI Cards and Payment Services Ltd,SBICARD,Payment Infrastructure,80587.00222,842.15,81.85410375,16.91142937,3.763486588,10.13550102,17.39157149,14.89656749,-31.1403661583073,,286.701904,82.39218157
Bharat Petroleum Corporation Ltd,BPCL,Oil & Gas - Reﬁning & Marketing,78755.18329,357.2,4.871962928,35.08644212,10.3672014,6.801111892,7.464142386,11.98648123,-33.5949987144812,-3.54877601511016,101.8238793,80.95450516
SRF Ltd,SRF,Textiles,76719.68969,2605.45,64.04301525,20.32173738,10.07782947,14.14936,21.23361558,25.9776599,129.0162581,52.06332884,50.58893708,29.59036932
Godrej Consumer Products Ltd,GODREJCP,FMCG - Personal Products,76335.67755,722.25,44.36005948,19.85111834,11.81716704,15.4502962,22.26916979,21.74454873,-8.70098251799736,5.001179128,19.74774603,5.801523483
