,,,,,Data Analytics,-Indian Stock Market Top 2000,,,,,,,,
Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,Return on Equity,Return on Assets,Net Proﬁt Margin,5Y Avg EBITDA Margin,EBITDA Margin,1Y Return vs Nifty,5Y CAGR,Debt to Equity,Long Term Debt to Equity
47.2682764,,,,,,1944.330581,11.18888509,0.241395958,82.42905034,5.323041368,7.67996E-05,58.89176495,6.221335511
65.99307567,0.719295721,34.00568229,58.12481276,34.43609139,,1743.898916,2.123955215,0.93157576,-72.345177036281,3.02373103,3.008661904,74.99999574,2.01571454
30.18519784,12.41738425,9.525480462,,2.85776209,19.69480692,1872.037319,6.178445708,0.961670559,75.35584785,0.018323864,0.013308912,58.14743998,0.895485309
8.045852619,47.60987303,44.54487934,,64.02022296,,2668.753223,0.191124926,0.882301041,-26.1777774266294,0.249091196,0,57.54909797,0.361805414
3.175223899,0.690978762,-3.34796916341125,,-4.0314861309373,,2953.095878,2.094849014,0.287929618,103.7553966,0.560768892,0.553817612,66.30978256,0.490036088
,,,,,,1877.954059,,0,,,,,
,3.133850775,-7.90412570980663,,,,3480.385775,4.021809751,0.753579503,-137.798638835958,3.592655187,0.000653438,74.60643728,0.066470371
17.90176317,20.9271764,27.39447545,12.65629285,23.36168806,,1730.98,3.50091435,0.76753334,-61.6663380760125,5.715372222,2.891972222,70.16196667,1.712841667
,,,,,,1876.056728,,0,,,,,
6.686347832,19.2845758,15.95612286,10.40016055,1.94778143,29.42822641,2345.498163,2.613856866,,50.15463562,17.88185638,16.82097079,21.60213735,4.812453494
2.135270897,-2.66741579246013,8.766057489,-27.719883505334,-19.5012541134297,,10419.99617,0.840622371,,-60.2625059590343,5.842064476,5.841413753,67.28705794,2.673259401
39.27859187,12.32582381,14.48196484,-25.6587900246555,15.93333696,,1884.55912,5.977888101,0.574712644,-7.16604149528586,0.015760027,0,74.99998358,0.016988653
32.30206906,7.534066193,,96.1459657,,,-474.24059454,0.653205203,,150.3200125,0,0,74.90404257,1.031146924
22.37767073,19.80269579,17.47281996,0.301147491,49.966034,,1921.633956,4.367965204,,-48.0833672667202,1.158873353,0,34.54035958,0.913687325
3.988408947,2.511931043,0.827112147,,2.923274993,11.85862716,1802.196195,1.315880226,,-43.0083422195753,3.620459084,3.4114237,21.70032018,18.0415417
28.01772104,6.148551666,14.14519713,13.99932846,16.01920022,,1776.051146,2.085143905,1.708670637,-77.0642662881563,12.47849162,11.80857504,34.31531361,6.784782031
57.19832272,21.4129602,25.52918972,35.45974415,15.70484431,,1826.377716,10.09698788,0.394159783,28.02349948,0.008274382,0,74.54854247,0.293459237
3.808011408,-2.69431647056854,-12.4164543052212,-7.04080676854304,-23.746645340216,,1826.991506,2.927264946,0.200668896,112.8585798,3.552794232,2.682520214,74.9998549,4.576940254
97.41963594,11.96951289,30.55430094,,33.2234951,,1551.371824,2.682586952,1.415004443,-62.7913570394978,0.049942084,0.031918748,44.86488192,2.68203179
,,,,,,1819.753819,,0,,,,,
0.610303357,6.901292082,3.7455985,39.57239047,-0.998038288274994,3.812621604,-3496.98231935,0.273790911,3.077020075,-85.712654187875,5.634862566,0,0,11.1576617
83.5261816,16.06466666,13.86029141,-7.42888832278428,19.63236958,,1793.385314,8.412861837,0.182759671,75.21455151,6.147803282,6.147803282,64.82085343,0.598528629
9.281466016,10.69250412,23.86626621,,10.46906417,,5196.785898,0.353913059,2.058649007,-92.9293996296644,0.245521319,0.236479319,49.50556523,6.251545221
28.92525608,9.51649519,14.14162388,21.55259746,13.00341495,27.45746479,1831.458493,4.151509549,0.787513837,-43.8486202849494,4.879088911,4.54790992,51.07300521,1.998356721
,8.991715964,,-8.35855580042809,,,1867.215099,7.005040987,,-207.329953272534,0.007365725,0.007365725,48.00819914,5.637572011
5.396900323,-6.77049401495502,-12.9687943743329,-5.53567667936163,-3.40404835642394,,1786.805452,2.28263596,0.543478261,116.7452414,9.324571163,0,58.95060367,11.24524904
5.394579215,-4.33014125157811,-1.08583526717846,82.62244505,8.405807913,,1975.946444,1.938859335,0.251809884,-48.4903645466116,1.84113872,1.800964911,59.21454788,1.705132439
6.183468722,-0.997357028875257,-4.67648220941715,-21.5956442030918,-16.3505991539109,,1564.588095,0.690060776,1.596169194,39.78302805,9.303328208,8.181157079,50.93478161,1.44669576
11.46727034,3.597349903,-0.665974010282477,17.54813043,-4.33535010796178,18.09159911,1499.498947,2.520901534,0.736497545,102.4074694,7.302317801,7.265629862,55,1.193920189
,-4.66226219594034,,-12.9751705104134,,,2126.15477,2.869575891,,-112.792212807763,1.216464342,0,51.8251637,4.284142449
46.12652105,4.43864368,16.68211531,-3.59511993024507,16.13409699,,1516.146672,3.633317415,1.014518512,102.3687775,0,0,66.39370096,0.467719019
10.07666463,8.227518909,15.74772428,16.75349888,13.85057949,,2200.153631,3.396928689,0.189483657,-39.3422298966112,1.768327243,1.768327243,55.74182925,2.088151426
6.889181847,7.167263808,-1.13692823558726,11.69735948,10.17088852,,1978.989108,6.345036688,0.069020257,105.9931855,0,0,74.99992466,0.304804445
8.227926182,-3.25818000192624,22.51622643,7.50138193,11.89669371,,2098.174625,5.190921607,,101.2614025,4.77759008,3.456450954,74.9999999,0
31.313752,13.85520831,23.83623477,13.63451697,50.13280781,,1737.927804,12.36872978,0.133541064,177.97086,0.109283698,0,60.60735155,0.072661368
,4.955674761,,,,,3773.322925,-1.18103950435892,,-120.636081129338,0.036296586,0.032449523,48.61054042,0.35937886
11.91481943,-8.81220466857602,-17.0150302309977,-3.87933939824066,-21.6096291952816,9.242368779,1901.912768,0.773577553,,203.5986564,11.81478296,11.749766,69.40119673,2.903036974
3.427115037,0.077948149,-8.48658205204809,-3.56193104596818,-20.099983082066,,1863.223831,3.276484811,,105.58279,4.327913217,4.327913217,56.48104018,22.64517562
49.62163903,73.25734331,97.01191336,,,,1781.551707,7.343260047,,-74.956868319685,23.75155398,11.22255058,27.38321541,10.82415087
,,,,,,4445.485612,0.487275883,,-139.950928594206,2.391121498,0.002779935,54.34688515,12.92583883
0.06999059,6.926937087,-21.7394478778949,121.3297292,-32.3187667026395,-7.90368073665368,-7083.22348051,0.289996027,,3.157151706,16.6184913,0,0,7.282287999
52.03869299,12.91329413,9.875562188,-14.9824930914086,13.03923868,14.24442649,1523.097768,5.968983742,5.001128493,-69.8497044455096,8.91146579,8.764043445,52.14837716,1.84818266
,-23.9668166115828,,,,,1873.33,92.54012175,,-273.118871630741,12.45075,0,50.01483333,3.167166667
67.31418285,1.214694702,0.732642038,-4.98674923628456,2.98714891,14.46966175,1542.812888,2.682695862,,101.5400928,4.421817236,3.632209899,59.42595384,1.678520154
14.87488616,-5.91470698413402,-0.68270766586146,4.077258242,-4.02665089355102,,1592.952698,1.844765572,0.688612387,-37.2521753811399,5.393356584,5.359765448,50.44903542,0.892257447
51.86877076,11.49023158,15.18252757,13.82658153,43.20732915,,1647.26865,4.429426319,0.281645424,9.495094466,0,0,68.20219613,0.221708455
16.01461807,4.182514644,3.939826186,-15.708711527563,29.87970568,,1730.243815,11.46297527,0.148027533,38.56392899,0.914388423,0.432785837,39.21723575,2.996325696
5.391297722,9.256898326,6.933689863,12.29354104,10.59686163,77.04005544,1677.933734,2.649720334,0.071022618,164.5567196,14.84621437,9.401268987,71.49378017,5.103360605
,,,,,,21,,,,,,,
7.718203177,9.725605353,8.531776138,-8.84664860582497,7.278755048,37.65582568,1833.156889,8.998223397,,23.85977969,13.3900881,11.87578092,46.29079494,3.480263045
41.35767256,7.450982609,10.67362517,8.722024005,12.21021399,,1392.342901,2.28091283,,-47.2302678639385,0,0,71.2778941,1.643258515
7.641777811,4.242193886,1.136583405,-2.29051699296818,-7.0011062569868,7.943569528,2452.7066,0.834515514,0.972222222,-35.3724489934311,10.08814232,8.996123535,51.33334616,12.42918459
17.03927178,9.512513163,6.862928398,19.83101995,-5.65015907493702,,2348.090816,0.724915013,0.599263875,-62.5086912218741,4.116860436,0.001278744,72.61402715,0.422343609
66.50463588,51.18799708,66.48101777,,-13.3333129027919,,1610.28662,0.737131893,0.466938733,-16.9886646886212,6.07359683,4.230201132,55.58932159,0.208496602
0.986178078,9.037143957,4.052505353,9.983135347,-48.5706608505185,,2303.119658,1.452457591,,765.9186203,21.7699204,0.048295101,49.6012682,7.456885363
,3.555797035,-0.819893559507789,26.06462178,,9.108951847,4054.60628,1.220964006,0.306560392,97.51147306,10.56253705,10.4880224,47.56849781,4.063381475
21.65212066,-5.80921545771991,-9.87123900059095,1.864528728,-12.655523130844,8.126919557,1540.443636,0.88049748,3.270232215,160.9627706,4.145740047,3.826018347,71.08112317,12.42065596
18.90225368,3.231211744,4.520594007,-18.6232219186262,7.239451231,26.16158463,1638.209444,3.092036993,0.273130445,103.035907,15.80636423,15.80590614,42.31455867,0.093433639
21.52286408,11.92392248,,,,29.75230742,1373.025604,6.069941527,0.500873886,310.6030116,14.93378578,8.941513072,50.17248421,25.1144496
18.1509434,7.397092046,26.56346711,-5.40700671324643,52.37556787,23.84165508,1904.016726,5.362435305,0.858775655,101.5255261,10.51449672,10.18796345,66.66132394,1.808808752
9.154562919,11.18033285,11.41130748,12.80098679,33.23442469,,1713.201249,3.792286788,0.494422133,27.79526719,0,0,64.15991662,1.854442849
59.19502618,-4.0628355810079,-12.889063717725,-2.9839507872601,-13.1314202753202,,1432.9625,2.277135404,0.629590766,102.4136275,0,0,56.41686316,0.369476692
24.56556082,-0.148486445510776,1.592580167,,5.716259748,,1545.53105,7.494284595,0.050365147,1209.423958,4.40196E-05,0,60.19349767,0.350288014
3.818648574,6.151434219,23.02822962,27.96605228,,,1707.78987,17.56057259,,677.8653691,0.070893469,0.058856393,50.02146697,0.670190883
1.974512668,51.70248184,,,,,1575.794262,18.67826816,,2241.842308,0,0,60.71636657,0
31.35728682,14.03683078,31.65136161,24.70596583,40.01133027,,1548.580149,2.776815424,0.776699029,-52.7615445651716,0.023082442,0,71.11049431,3.891868533
7.253095476,2.428961494,12.55588396,82.30031933,41.09942353,,1634.499408,20.51186867,0.176152469,224.4071252,0.051099113,0,50.08650913,7.024716895
15.96711225,2.762149735,-1.21436430436962,-5.74484417053711,-0.638839273975911,,1407.223057,1.349904679,0.866185388,101.4438061,10.2809673,0,46.75184627,0
17.72607627,5.738853431,8.273616558,-11.6966202262169,11.79138452,,1770.990103,1.29549179,1.668752607,-61.0816909332459,0.653320991,0.004654007,43.8789063,1.74322586
53.13629598,0.775518173,14.32930908,6.846705015,22.02538794,11.93711722,1578.47773,2.578142155,1.508978422,-76.7527151870712,15.5637549,15.40771369,39.42722531,3.971951377
0.292333056,-13.7306173237285,-34.7715825542132,,-56.1258661505396,,1348.915006,2.046196782,0.266489007,879.2483807,9.356845725,9.238137852,61.21878947,4.902905802
20.2892562,-2.89780315768849,0.944578407,3.01592475,1.840829493,,1500.635035,5.489681211,0.522356874,3.603868646,0.0137921,0.0137921,60.22250106,0.945432809
5.839239959,18.90936166,,-18.3049278021457,,,3964.829486,1.09628555,,-70.2514492509225,4.027140945,0,53.16804432,1.236545095
80.73967339,2.507831786,4.455920105,2.842913591,7.142674517,,1391.855384,7.54461203,,-22.0982454221329,2.159213108,0.517659865,56.1698359,0.088895521
24.20413457,9.43290945,20.20250053,,26.21928637,,885.6378354,2.307742743,5.488813243,-53.2240769172387,0,0,62.04946851,1.951752644
,6.913952359,7.122118044,-23.0049985216365,,,2679.360256,6.882870983,0.633091707,-179.997520110368,1.247341196,0,64.67015948,13.99808462
5.842427656,63.30075781,62.77768511,134.8516916,35.51044083,,1686.178205,2.884356932,,103.0164175,0.000102559,0,36.52644555,11.04230357
115.4798762,-0.584449239961182,-6.9914823209327,-4.12574303151639,-5.79861601263642,19.80302009,1030.293267,2.552413441,3.308754539,-35.909514597729,16.10004913,5.338575791,0,23.1814263
6.186993477,16.20262436,13.47283911,9.055285013,4.926749099,4.555223489,2472.8169,2.684009763,0.557724484,101.8153939,4.264603344,4.229521523,56.25222341,4.017893988
40.240183,-2.96495631629734,-7.45857075145428,1.620285205,-12.6512613041677,,1468.142154,6.315052832,5.152039203,-7.9500373409596,2.287786606,1.870635921,74.65563546,0.600552275
,-18.5992858524225,,44.18601499,,,2705.965947,1.007630519,,-107.021373380906,2.808842445,0,74.1424372,9.445572441
29.17903486,7.16061289,7.74366861,8.632069537,10.3145097,,1270.819123,2.924068872,0.754147813,-10.3348062472604,0.017476398,0.00887494,69.04874711,0.619688737
7.179663346,-14.2987574393089,-24.2993138761606,,-32.8593420188879,,1066.520352,2.113247307,,95.58193174,0.778752028,0.003078087,70.67725777,0.08890002
12.52073705,4.970828088,9.766929461,35.23577864,95.7910048,,2005.187268,4.209704565,,101.4693535,0,0,74.11338732,0
14.97780172,13.24210178,14.65668623,33.39841909,15.63172882,21.19666624,1649.197585,1.898071847,0.257842716,-49.6462663245856,6.170240444,0.792563365,36.22036013,17.20901093
3.912056881,,,,,10.94593319,2854.089619,2.235745042,0.537959788,-56.4995542801059,0.310788764,0.010570265,60.39024059,0.663773664
5.288970213,9.112959617,6.160012042,9.762348471,-1.76825750326778,,1804.315233,1.765654385,0.565008094,102.8952978,0.361906921,0,70.77634188,1.666739056
0.125,-3.71430009277528,-13.559388439304,-4.49246169411958,-59.1720700071159,,1347.055228,1.673505196,,327.2444364,1.62174089,1.617892394,74.98446312,0.075540879
,-14.5377935302134,42.90048059,,,,26754.24,-0.0918819533173362,,96.78291675,13.91011328,0.000722357,56.88621986,0.367205402
31.89218524,13.62718178,24.50022692,23.16930758,21.25539505,,1744.386726,1.281634149,,-51.3969338557735,0,0,63.09490569,0
106.2568434,5.103194437,5.906728677,9.474543135,9.411987511,,1449.704875,2.569266069,1.37982693,101.7673917,0.020960699,0,50.1720524,2.296489083
99.88028731,11.8790821,25.00662181,18.22058683,52.71601925,,1367.914401,5.298495178,0.430141092,-34.3621581148414,1.665043594,0.002996596,31.41787586,10.06465206
34.91036633,5.39419417,27.39334118,10.26364142,45.09224812,,1153.935661,1.320785131,1.463577348,-73.5666976685983,7.447350352,7.447350352,71.80843993,1.734931693
31.70054026,11.28330464,26.00460207,15.93296156,41.13032318,,1489.336544,5.835720297,0.907443858,-36.87497383537,0.138973572,0.001037116,44.25209557,0.624881185
22.84516933,5.161328666,-2.51161821854089,-6.57795679668298,3.914283338,,1407.669921,6.028760261,0.804936947,105.8598179,0.736069506,0.009124581,70.47199097,3.065332533
1.342105263,-7.82465921211792,-13.9344627474888,99.14449812,-17.0581579884046,,1411.510427,12.59524396,,4567.38274,0.055677189,0.038082855,53.4110324,0.014487508
22.30713246,-10.5244869926579,-1.8283889807519,23.14104192,3.515059626,,1404.451166,8.578486118,0.641257817,109.6231774,0.005241207,0.00452881,47.77795001,9.701568395
2.998013365,21.81516207,19.37844795,21.91056845,38.62238214,,1598.037741,7.413870947,,216.7750493,0,0,65.71151497,1.031620176
110.0913023,-9.19825502915133,-11.5788565377922,-13.684301558817,-6.34263709214999,,1299.595107,2.52083094,2.643963831,-67.9520639183885,0,0,43.03972175,18.86025732
3.023556284,-5.92908339117249,-5.45318278961733,-7.88762767086094,-6.98275309863694,,1694.9934,0.866826041,0.342465627,85.2599992,0.122842753,0,59.49248618,0.012304403
,8.690731294,11.09656479,13.71246677,,,2894.940109,2.890662535,0.829874678,-190.049306435092,17.29904565,17.207005,67.75097813,1.052685275
,-8.25135204883799,-40.3829154433537,-50.8428978653278,,,2021.087031,0.76845354,0.46600494,99.05458314,2.543300976,2.165591425,61.62860909,2.458633564
6.104863104,-0.322517396438116,6.847422161,-29.0061958392913,23.91573699,,2482.393827,1.212690909,2.104893878,-26.3061489724645,1.343785636,0,73.83286779,2.857962148
17.64649283,10.21315494,58.11788806,77.76698392,57.64386724,,1479.126306,9.692879359,,74.45705203,3.398292422,2.33919836,57.25597136,2.403637306
,,,,,,1407.9079,,0,,,,,
204.6778464,,,,,,1279.924547,8.600395753,0.142582163,-17.7415154010065,5.514583495,1.346256441,69.99870502,13.02119213
27.35483871,-12.5150578449889,-17.5836950415867,,-6.29402805640145,,1399.658,24.89146624,,154.4860302,0,0,64.19720497,14.36760248
107.8670686,26.21553935,115.9830012,70.22159449,117.4155261,,1427.96,3.825035718,0.189633375,-64.032681685726,0,0,74.48526023,0.115126705
7.647600483,-4.94882273910768,-9.80637285937592,-0.382855361940748,-2.96085316648071,,1568.15922,1.144474973,0.173110214,101.7931146,4.364039033,0,74.6557713,0
,76.8253184,,,,-12.70169784587,15861.78188,0.469954846,,-126.442238289264,12.69100501,0.49568906,0,26.65329965
0.101319379,3.962892723,-3.58473145305191,-0.012141325381243,-46.3978633714683,,2089.641749,2.023723161,0.262306549,162.5121063,19.88447907,18.24082537,57.52620929,0.270393497
,,,,,,1360.382526,,,,,,,
0.491655864,-2.19019507099245,-12.038505834722,-1.00837087242619,-44.6376348716057,,1938.061833,2.459828788,0.319590629,126.6811648,0.0147991,0,61.45494454,0.821414542
1.68101681,14.98082281,-1.16751952006456,,-18.9077668496904,,1403.88544,3.836159673,,945.7679019,0,0,74.99478344,6.328437869
,-5.5880155632313,-2.09924931675223,24.30829283,,,2040.02173,3.679226949,,94.87106605,6.858360156,6.852320521,44.83593088,10.77727893
0.6043257,9.621115623,-7.51798883450651,8.941753576,-50.1317607963657,,1265.442936,2.107988637,0.701016474,149.1327734,0,0,65.37012914,0.137519452
9.265712352,-2.51050769871369,-7.6380988157683,-5.14875927030667,-16.8648949828937,,1551.454165,1.640783163,1.697888958,101.5131675,0.296132323,0.218360857,45.3642199,2.312809764
65.942664,8.750140822,9.411353573,4.670373055,13.77593211,,1182.688332,3.613262607,0.520663813,-67.0568311891381,0.000320827,0,37.46378622,0.468795857
38.35177459,-0.172803060612314,5.176759519,-19.1473702112401,10.84382714,,880.741595,1.162886569,2.45090521,-71.0436890518294,9.134129429,8.59798832,64.71212556,3.043140618
12.61837464,10.74254748,17.94150275,28.37348929,23.26746321,,2036.253006,0.46357865,0.887350814,126.5588647,9.114846742,8.743667022,43.54286266,0.914777261
,4.342757327,13.77836667,,,,1969.014829,1.6115615,,-121.400950742979,10.70799382,6.05397028,27.97838943,6.858370486
7.323629355,4.302337922,5.663233405,-2.95272800637267,7.973400263,25.49937229,1633.691322,1.648790092,1.016494653,101.907029,15.68478975,15.13438918,70.37970047,1.24990555
25.00881959,-6.70550654207549,,,,,1399.646376,7.812636379,,200.9194632,8.68604E-05,0,61.44623775,14.50290096
28.30798707,1.547975922,-0.66043239909046,-10.7223330645906,3.713728934,,995.309376,1.222271649,1.313413233,101.5515241,5.339068892,0.016704355,24.79588994,4.858701978
26.17474529,8.502476104,10.80418946,79.17268354,-1.82338222811521,27.73198179,1271.878048,1.589751696,0.813989757,-14.8627268107099,0,0,74.01955212,3.829892425
4.663819532,-10.8111840286167,-24.7005057822935,4.318273627,-4.0517237374841,,3173.558534,4.873977292,,100.7809796,9.088895945,0.004999814,49.15009204,0.244479478
48.97145092,3.184975634,8.590988315,31.55822715,33.68783192,,1378.488636,2.51610678,0.279121697,101.7448275,0.011013507,0.007914433,70.38665339,0.268078022
3.168505385,11.56374657,36.17533936,27.24000456,13.7819242,,1544.58288,10.62380395,0.123895683,111.2908076,0,0,74.81235463,0
1.232876712,23.77181358,21.43429229,,-18.8561784388835,,1361.34,18.6919228,,4017.30186,0,0,49.2804196,0
13.23225167,4.359128172,0.850762509,2.201803957,-5.84018817983475,,1267.766225,2.28075213,1.621484672,102.299371,0.193011612,0,66.55980358,10.45100887
0.487519306,-13.4551189927733,-7.90240541220528,,,,3366.358636,3.573536602,,10.29497821,0.127193367,0,69.82780563,0.049750143
17.82697608,35.53933505,63.50125756,,73.01883625,,1353.362971,13.35695976,0.163894341,299.3506399,0,0,56.02060582,0
,-27.5142499970048,,,,,1204.526834,1.597900994,,97.85816493,3.131811126,3.131655504,69.75581313,7.679618493
,6.546787701,-21.7491050540292,,,8.809195114,1744.690371,1.423805162,,-147.217712852544,8.343502758,8.343502758,63.69259951,3.850486623
17.0017398,12.32532447,27.68566654,36.48021577,43.39925662,,1393.561685,4.968214587,0.053438868,200.8647125,0,0,50.32480677,0
25.84156313,6.864554487,-2.69221192274709,8.433582495,-0.0697121976915072,,1152.331418,2.125235616,0.788208402,-55.9547005532317,12.24750374,12.23961658,66.66620001,0.424516401
6.192167844,-4.48166387919617,10.68147205,50.88876704,19.01010534,,1281.128722,2.493385919,,-28.7416812567309,2.405071025,0.005753323,53.27603316,0.48785397
13.25478645,-7.54085847507564,-20.1260879258413,15.5896123,-21.8537882986527,,1054.55735,2.967950445,2.206591803,105.3641928,6.013461866,6.013461866,74.25107933,1.331231703
31.20180553,16.70548734,17.50353149,33.36994326,18.1077798,,1207.812468,6.317817473,0.322784185,215.0982344,3.525105458,3.525105458,67.5475836,2.178299835
9.679253521,10.08614594,10.63368439,-8.08659751295739,29.44265633,,1782.126466,0.438865519,,-45.2120034077228,0.027551091,0.026191377,40.97832165,1.448719208
5.51250394,6.148453494,-9.46365525080843,,-15.3236149302834,14.14093607,1713.982091,1.298036667,0.769388988,24.40504666,0.148756959,0,58.94405665,2.985345603
3.635153659,11.1690233,4.694737967,37.45662578,-9.23134910569534,,1240.467156,0.674091842,0.594883998,-66.846502980154,10.46835397,9.715038448,46.64591419,8.002786633
,4.195288202,2.444065653,-3.09846702576287,,,2804.870754,18.50729537,,-1863.66313272414,0.096886908,0.004537052,55.98976129,0.324174912
,,,,,,1265.598301,,,,,,,
,-15.9173007737767,,,,,1207.009375,3.963009803,,96.09438489,0.007877079,0.000984635,74.99739318,13.24584656
16.42382687,-7.71648748899076,-12.1899383494725,-18.3269866307728,,,1070.311005,2.017123197,1.24110682,-29.1616101097051,0,0,48.32674869,0.254917399
12.68508287,6.302810088,5.119247434,-7.88059420480388,41.68676145,,1230.186238,7.073882397,0.399087287,-0.489202958850874,3.308612485,3.174222287,73.7025503,0.322297789
15.50935482,7.630017893,10.21970715,12.58993021,17.9050702,13.81863824,1274.762073,1.532962862,0.328683168,-45.0347763680791,8.789780969,8.789780969,72.15866944,5.285393073
2.668859765,1.588048521,1.767797428,11.06222455,-6.57337169672274,,2072.818058,1.636527217,0.396207726,-54.45161286954,0.000701707,0.00060871,69.73456437,0.01988171
2.325936871,8.328808755,27.51515414,24.47784538,,,2171.124753,2.242302569,0.946611473,-61.9063776980707,7.498753079,6.288487423,66.07201344,7.770172639
13.71586207,4.356687385,7.649141882,26.89175769,72.0297016,,1318.151328,7.148096246,0.19470405,105.6300882,0.006753329,0.004804659,74.99409109,0.07474956
,3.683727154,-19.9088493790613,4.522633177,,5.080196521,1453.751472,1.627121455,0.606796117,-325.162052989064,0.905056271,0.87813694,67.73396057,4.29514027
4.164863905,41.42573893,53.27522885,,199.0569403,,3091.597805,0.729918734,1.814725124,-84.1091649355069,3.41497382,1.292159983,53.77009737,2.289972565
,-1.89834654145606,-14.6049474759139,-20.0963676474414,,,2130.882936,1.288813517,0.399467377,72.20772296,0.024598877,0,63.95626112,0.936513413
,-20.4773056862168,,-26.749772578074,,,3139.702487,0.315001665,,99.8262205,0,0,14.88007584,3.564136678
3.598221554,109.7165631,47.06339543,,-8.59673077516555,,1674.559778,1.28607553,,61.60213706,2.025562698,0,2.875018698,5.989937408
2.912779613,9.563081559,11.45168214,,14.23450467,,10960.15691,0.576354757,1.284356537,-84.6250372295441,21.00522524,21.00522524,37.1325132,18.01072841
16.2737405,3.87559316,7.201000184,-1.14596547312931,20.77608271,,1410.937982,0.791059511,,-64.5658163054999,0.043091909,0.019753695,51.15697946,0.378933577
,44.13008555,,,,,1238.456158,5.271933724,,-541.152319453846,0.025557599,0,73.71848918,0.195658666
0.941638384,8.371531232,8.850728976,,-7.97013060298802,,1844.871456,1.060966718,0.207131233,42.2873751,8.338734196,8.291981454,58.33013802,2.661432502
4.319030469,2.409344222,21.93665708,16.18780593,33.8000846,450.5260491,2566.83,0.67166925,,-36.7496211656004,0,0,70.3309239,0.229066932
,-6.96035581193446,,3.65050868,,,1776.357019,2.027345709,,-105.629673741804,1.314962967,0,12.15626769,10.2478054
46.27397846,11.24955902,22.99516257,-11.1461356247075,58.2897957,,1248.17598,3.993043295,0.569476082,-69.29160825616,0.226983824,0,61.77638493,0.05330564
30.33222591,13.41085057,31.38153874,66.01214013,159.2958498,,1182.260825,8.191295097,0.176661844,-27.3642255254968,0,0,54.84163233,0
106.3965485,22.48322154,31.7956106,26.59958061,37.83714662,,1176.719369,7.730929489,0.090539876,-42.740101707218,0,0,73.8115132,0
,2.512809635,1.217519412,10.076787,,,1521.107278,3.761869135,,48.91966448,9.779963058,9.779963058,55.71286706,0.069389964
0.231862978,34.35498492,-1.18073354012982,,-30.6982355033604,,595.5227513,0.746548157,,281.0039547,24.42246249,5.729751629,28.01103804,9.948321689
117.8313962,-11.9422018354538,0.022742782,-52.7484042251953,6.546902234,,1178.265564,2.346763493,0.617190038,-66.4505105596708,0,0,74.4308287,1.910076729
55.46933785,8.104379411,24.38805743,28.72347955,32.28619081,33.82652466,687.128654,1.761329505,2.208142721,-74.1134669255819,0,0,73.27508531,2.909239062
,-86.2044228053562,,,,,8572.274179,-0.103878401731549,,-102.298030724739,10.4257346,0,0,2.14333E-05
26.26124898,-8.76214562842856,-7.58769733319531,,-10.2425126156929,,1123.5485,2.830975095,0.388424937,564.3221783,0.026556291,0.001324503,45.43088742,0.32418543
11.26191785,4.30789841,8.933600581,14.84751171,8.207077861,13.0853331,1140.267544,2.041425247,1.753880728,102.0451073,5.203674331,4.501470523,55.97962842,19.39486079
28.41003178,-4.74772939870692,3.593179659,,24.15342,,965.0578644,1.018821475,1.354279523,-55.071497263473,0.2363634,0.001585587,42.65231225,10.96351343
13.94080464,-0.331181597104746,1.453621261,-3.58435816001718,-0.536886135142711,,1352.447984,0.39980282,3.508771651,-78.3106475587167,7.328060789,4.646905649,55.69289214,1.668970693
0.743015653,-1.32833183046901,1.953470194,-6.33484311239465,-22.4845444697278,11.49136571,1388.300882,1.089094541,0.1771222,23.09857374,13.02071749,13.01926221,46.6350234,10.66746884
8356.129032,-3.68713373208833,-3.58605589538176,16.89719657,-3.96341736586551,,1085.005696,0.503730043,0.137389058,-66.0093559564627,0.961950609,0.058279148,74.89939014,1.506202656
,-12.4266677318427,-21.6940182041872,,,,3318.26122,0.487437825,,-106.648917334152,15.02148734,0,54.61737353,0.512366602
,-12.329066806303,-20.8076635188998,-35.5536761157676,,,1571.89371,1.767599991,,-126.934030583255,3.350832019,2.44999804,89.96373272,1.776633902
,9.096595016,15.91940711,,,,1875.585298,1.371306389,,-228.010167922843,8.537080397,8.170368006,47.001314,4.936306133
0.31985455,3.100096619,7.504814211,12.08417866,-28.7073790025769,,1650.448784,1.673222911,,1142.089076,0.020539756,0.004215985,46.75554286,6.327158
10.61842045,4.400400706,4.953594447,5.666713496,2.863667137,,1230.920461,3.026172194,0.364475762,102.4899606,2.294788588,0,57.4821652,1.829124302
12.64206539,2.773014747,0.922218651,11.42443972,5.173099257,13.91249805,1327.033584,2.169799546,0.422297297,-64.6382927323357,11.80915803,11.80915803,49.82206833,22.99606696
1.472462863,4.537251885,18.57049305,72.39664304,-2.35958492753844,36.9755084,1401.584725,5.048865677,0.154586734,116.759335,2.355723423,0,46.86582402,26.03880298
,3.971062011,,44.82535622,,,1679.735643,-20.5821185017947,,-167.730858027262,0.010737749,0,44.23582884,0.144192263
9.840660395,3.382833103,-7.27811041942783,-8.57763993640437,-16.6313777338519,,1226.047496,2.605725885,0.412427825,103.6926369,2.436402956,1.420029606,75.00000635,0.140285727
23.27422102,4.533792437,2.842240961,20.88580425,2.408108532,,931.6365698,3.869596368,0.743586566,-33.2529680839375,2.234979176,2.229912062,74.56186631,2.349484616
